NU_FUNCIONARIOS;IN_EJA;IN_COMUM_FUND_AF;TX_RESP_Q002_A;TX_RESP_Q004_C;TX_RESP_Q004_E;TX_RESP_Q004_F;TX_RESP_Q004_G;TX_RESP_Q004_H;TX_RESP_Q012_B;TX_RESP_Q013_A;TX_RESP_Q013_C;TX_RESP_Q014_C;TX_RESP_Q015_B;TX_RESP_Q018_B;TX_RESP_Q019_F;TX_RESP_Q019_G;TX_RESP_Q023_G;TX_RESP_Q034_A;TX_RESP_Q036_C;TX_RESP_Q036_E;TX_RESP_Q037_D;TX_RESP_Q038_A;TX_RESP_Q041_A;TX_RESP_Q041_B;TX_RESP_Q041_C;TX_RESP_Q042_B;TX_RESP_Q042_C;TX_RESP_Q043_A;TX_RESP_Q043_B
0.0;1.0;0.0;0.061946902654867256;0.0055248618784530384;0.10606060606060606;0.0625;0.14285714285714285;0.09090909090909091;0.024844720496894408;0.09913793103448276;0.0;0.006666666666666667;0.15625;0.10526315789473684;0.02040816326530612;0.08771929824561403;0.057142857142857155;0.05921052631578947;0.010869565217391304;0.08333333333333333;0.1;0.04065040650406505;0.04075235109717868;0.0625;0.1;0.05263157894736842;0.0625;0.12037037037037036;0.01990049751243781
0.08119658119658121;0.0;0.0;0.23893805309734512;0.23204419889502764;0.030303030303030304;0.0;0.0;0.0;0.13043478260869565;0.22413793103448276;0.09523809523809523;0.05333333333333334;0.0625;0.14035087719298245;0.16326530612244897;0.12280701754385964;0.17142857142857146;0.1513157894736842;0.15217391304347827;0.16666666666666666;0.11666666666666667;0.024390243902439025;0.20689655172413793;0.20535714285714285;0.06;0.02631578947368421;0.0;0.18518518518518517;0.1691542288557214
0.22222222222222224;1.0;0.0;0.4424778761061947;0.4530386740331492;0.2878787878787879;0.0625;0.07142857142857142;0.030303030303030304;0.22360248447204967;0.5474137931034483;0.015873015873015872;0.18666666666666668;0.25;0.3333333333333333;0.08163265306122448;0.40350877192982454;0.3904761904761905;0.3552631578947368;0.42391304347826086;0.38888888888888884;0.3333333333333333;0.1626016260162602;0.3573667711598746;0.39285714285714285;0.2;0.18421052631578946;0.0;0.25925925925925924;0.3383084577114428
0.18803418803418806;1.0;0.0;0.3185840707964602;0.4917127071823204;0.3939393939393939;0.1875;0.0;0.0;0.22360248447204967;0.5603448275862069;0.07936507936507936;0.22666666666666668;0.125;0.3333333333333333;0.22448979591836732;0.3333333333333333;0.4571428571428572;0.4671052631578947;0.40217391304347827;0.3055555555555555;0.13333333333333333;0.0813008130081301;0.4075235109717868;0.45535714285714285;0.18;0.21052631578947367;0.0625;0.4722222222222222;0.33582089552238803
0.06837606837606838;1.0;0.0;0.12389380530973451;0.11049723756906077;0.10606060606060606;0.15625;0.0;0.06060606060606061;0.049689440993788817;0.1896551724137931;0.015873015873015872;0.04666666666666667;0.09375;0.07017543859649122;0.08163265306122448;0.10526315789473684;0.09523809523809526;0.13157894736842105;0.06521739130434782;0.1111111111111111;0.08333333333333333;0.04065040650406505;0.10031347962382445;0.1875;0.04;0.13157894736842105;0.0625;0.1111111111111111;0.09701492537313433
0.27350427350427353;1.0;0.0;0.3274336283185841;0.27624309392265195;0.7575757575757576;0.65625;0.6428571428571428;0.42424242424242425;0.3291925465838509;0.6939655172413793;0.1111111111111111;0.22666666666666668;0.1875;0.6140350877192982;0.18367346938775508;0.5087719298245614;0.523809523809524;0.4802631578947368;0.40217391304347827;0.3333333333333333;0.6333333333333333;0.41463414634146345;0.3448275862068965;0.7053571428571428;0.64;0.5;0.375;0.5;0.4054726368159204
0.1324786324786325;0.0;0.0;0.09734513274336283;0.19889502762430938;0.13636363636363635;0.25;0.07142857142857142;0.0;0.06211180124223602;0.24568965517241378;0.06349206349206349;0.12000000000000001;0.0625;0.07017543859649122;0.3061224489795918;0.07017543859649122;0.1142857142857143;0.256578947368421;0.14130434782608695;0.1111111111111111;0.15;0.024390243902439025;0.16614420062695925;0.1607142857142857;0.12;0.10526315789473684;0.0625;0.12962962962962962;0.14676616915422885
0.14102564102564105;0.0;0.0;0.19469026548672566;0.18784530386740333;0.18181818181818182;0.21875;0.21428571428571427;0.030303030303030304;0.15527950310559005;0.27155172413793105;0.06349206349206349;0.10666666666666667;0.09375;0.22807017543859648;0.18367346938775508;0.12280701754385964;0.20000000000000004;0.18421052631578946;0.14130434782608695;0.1388888888888889;0.16666666666666666;0.0975609756097561;0.18181818181818182;0.25;0.2;0.18421052631578946;0.0;0.24074074074074073;0.16417910447761194
0.07264957264957267;0.0;0.0;0.19469026548672566;0.32044198895027626;0.16666666666666669;0.15625;0.14285714285714285;0.0;0.14906832298136646;0.1939655172413793;0.09523809523809523;0.23333333333333334;0.0625;0.12280701754385964;0.24489795918367346;0.12280701754385964;0.17142857142857146;0.3157894736842105;0.2608695652173913;0.027777777777777776;0.08333333333333333;0.04878048780487805;0.26645768025078365;0.21428571428571427;0.16;0.18421052631578946;0.0625;0.12962962962962962;0.2462686567164179
1.0;1.0;1.0;0.017699115044247787;0.016574585635359115;0.015151515151515152;0.03125;0.0;0.0;0.006211180124223602;0.04741379310344827;0.0;0.006666666666666667;0.0;0.03508771929824561;0.0;0.017543859649122806;0.009523809523809525;0.019736842105263157;0.0;0.05555555555555555;0.016666666666666666;0.016260162601626018;0.012539184952978056;0.05357142857142857;0.02;0.02631578947368421;0.0;0.027777777777777776;0.009950248756218905
0.1324786324786325;1.0;0.0;0.3274336283185841;0.2541436464088398;0.48484848484848486;0.8125;0.7142857142857142;0.09090909090909091;0.14285714285714285;0.5086206896551724;0.07936507936507936;0.14666666666666667;0.21875;0.40350877192982454;0.16326530612244897;0.3684210526315789;0.5714285714285715;0.36184210526315785;0.2717391304347826;0.2777777777777778;0.36666666666666664;0.17073170731707318;0.2570532915360501;0.6428571428571428;0.62;0.4473684210526315;0.125;0.4444444444444444;0.3308457711442786
0.12393162393162396;1.0;1.0;0.2654867256637168;0.09944751381215469;0.3181818181818182;0.40625;0.3571428571428571;0.4545454545454546;0.15527950310559005;0.34913793103448276;0.06349206349206349;0.12000000000000001;0.15625;0.40350877192982454;0.02040816326530612;0.38596491228070173;0.2761904761904762;0.19078947368421054;0.14130434782608695;0.4722222222222222;0.21666666666666667;0.1869918699186992;0.11912225705329153;0.3482142857142857;0.54;0.3684210526315789;0.6875;0.28703703703703703;0.17164179104477612
